source_category,source_filename,destination_split,destination_filename,label_policy
Citrus greening,Citrus Greening1.jpeg,train,Citrus Greening1.jpeg,empty_negative
Citrus greening,Citrus Greening140.jpeg,train,Citrus Greening140.jpeg,empty_negative
Citrus greening,Citrus Greening182.jpeg,train,Citrus Greening182.jpeg,empty_negative
Citrus greening,Citrus Greening223.jpeg,train,Citrus Greening223.jpeg,empty_negative
Citrus greening,Citrus Greening78.jpeg,train,Citrus Greening78.jpeg,empty_negative
Citrus mealybugs,Citrus Mealybugs1.jpeg,train,Citrus Mealybugs1.jpeg,empty_negative
Citrus mealybugs,Citrus Mealybugs198.jpeg,train,Citrus Mealybugs198.jpeg,empty_negative
Citrus mealybugs,Citrus Mealybugs297.jpeg,train,Citrus Mealybugs297.jpeg,empty_negative
Citrus mealybugs,Citrus Mealybugs444.jpeg,train,Citrus Mealybugs444.jpeg,empty_negative
Citrus mealybugs,Citrus Mealybugs592.jpeg,train,Citrus Mealybugs592.jpeg,empty_negative
Die back,Die Back1.jpeg,train,Die Back1.jpeg,empty_negative
Die back,Die Back204.jpeg,train,Die Back204.jpeg,empty_negative
Die back,Die Back309.jpeg,train,Die Back309.jpeg,empty_negative
Die back,Die Back467.jpeg,train,Die Back467.jpeg,empty_negative
Die back,Die Back624.jpeg,train,Die Back624.jpeg,empty_negative
Foliage damaged,Foliage Damaged1.jpeg,train,Foliage Damaged1.jpeg,empty_negative
Foliage damaged,Foliage Damaged202.jpeg,train,Foliage Damaged202.jpeg,empty_negative
Foliage damaged,Foliage Damaged305.jpeg,train,Foliage Damaged305.jpeg,empty_negative
Foliage damaged,Foliage Damaged409.jpeg,train,Foliage Damaged409.jpeg,empty_negative
Foliage damaged,Foliage Damaged616.jpeg,train,Foliage Damaged616.jpeg,empty_negative
Healthy leaf,Healthy Leaf1.jpeg,train,Healthy Leaf1.jpeg,empty_negative
Healthy leaf,Healthy Leaf189.jpeg,train,Healthy Leaf189.jpeg,empty_negative
Healthy leaf,Healthy Leaf279.jpeg,train,Healthy Leaf279.jpeg,empty_negative
Healthy leaf,Healthy Leaf368.jpeg,train,Healthy Leaf368.jpeg,empty_negative
Healthy leaf,Healthy Leaf546.jpeg,train,Healthy Leaf546.jpeg,empty_negative
Powdery mildew,Powdery Mildew1.jpeg,train,Powdery Mildew1.jpeg,empty_negative
Powdery mildew,Powdery Mildew198.jpeg,train,Powdery Mildew198.jpeg,empty_negative
Powdery mildew,Powdery Mildew295.jpeg,train,Powdery Mildew295.jpeg,empty_negative
Powdery mildew,Powdery Mildew393.jpeg,train,Powdery Mildew393.jpeg,empty_negative
Powdery mildew,Powdery Mildew589.jpeg,train,Powdery Mildew589.jpeg,empty_negative
Shot hole,Shot Hole1.jpeg,train,Shot Hole1.jpeg,empty_negative
Shot hole,Shot Hole191.jpeg,train,Shot Hole191.jpeg,empty_negative
Shot hole,Shot Hole282.jpeg,train,Shot Hole282.jpeg,empty_negative
Shot hole,Shot Hole374.jpeg,train,Shot Hole374.jpeg,empty_negative
Shot hole,Shot Hole557.jpeg,train,Shot Hole557.jpeg,empty_negative
Spiny whitefly,Spiny Whitefly1.jpeg,train,Spiny Whitefly1.jpeg,empty_negative
Spiny whitefly,Spiny Whitefly209.jpeg,train,Spiny Whitefly209.jpeg,empty_negative
Spiny whitefly,Spiny Whitefly319.jpeg,train,Spiny Whitefly319.jpeg,empty_negative
Spiny whitefly,Spiny Whitefly429.jpeg,train,Spiny Whitefly429.jpeg,empty_negative
Spiny whitefly,Spiny Whitefly649.jpeg,train,Spiny Whitefly649.jpeg,empty_negative
Yellow dragon,Yellow Dragon1.jpeg,train,Yellow Dragon1.jpeg,empty_negative
Yellow dragon,Yellow Dragon166.jpeg,train,Yellow Dragon166.jpeg,empty_negative
Yellow dragon,Yellow Dragon232.jpeg,train,Yellow Dragon232.jpeg,empty_negative
Yellow dragon,Yellow Dragon299.jpeg,train,Yellow Dragon299.jpeg,empty_negative
Yellow dragon,Yellow Dragon365.jpeg,train,Yellow Dragon365.jpeg,empty_negative
Yellow leaves,Yellow Leaves1.jpeg,train,Yellow Leaves1.jpeg,empty_negative
Yellow leaves,Yellow Leaves15.jpeg,train,Yellow Leaves15.jpeg,empty_negative
Yellow leaves,Yellow Leaves175.jpeg,train,Yellow Leaves175.jpeg,empty_negative
Yellow leaves,Yellow Leaves225.jpeg,train,Yellow Leaves225.jpeg,empty_negative
Yellow leaves,Yellow Leaves301.jpeg,train,Yellow Leaves301.jpeg,empty_negative
