epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,220.742,2.29965,3.4734,1.5926,0.00302,0.55789,0.00497,0.00093,2.5891,5.03593,1.6396,0.000644444,0.000644444,0.000644444
2,426.063,2.0447,2.30537,1.43263,0.00296,0.54737,0.00393,0.00113,2.59392,4.55759,1.76078,0.00129489,0.00129489,0.00129489
3,624.977,2.01141,1.95177,1.5217,0.04304,0.02632,0.00322,0.00069,2.68848,4.22623,2.86679,0.00192883,0.00192883,0.00192883
4,815.77,1.9694,1.89015,1.46569,0.10942,0.22105,0.06156,0.01667,2.57682,3.5235,1.88135,0.00192575,0.00192575,0.00192575
5,1011.1,1.95599,1.63468,1.48451,0.4113,0.51579,0.39945,0.12346,2.5421,2.5597,1.8344,0.001901,0.001901,0.001901
6,1213.37,1.94786,1.62152,1.50673,0.06179,0.16842,0.01905,0.00531,2.99449,3.86584,2.21865,0.00187625,0.00187625,0.00187625
7,1430.2,1.94667,1.58122,1.5097,0.33336,0.34211,0.24731,0.07629,2.5791,2.4508,1.86154,0.0018515,0.0018515,0.0018515
8,1646.8,1.92975,1.39491,1.45179,0.44046,0.37895,0.32557,0.09191,2.60196,2.22283,1.77079,0.00182675,0.00182675,0.00182675
9,1863.22,1.91885,1.42205,1.46127,0.38519,0.62632,0.44236,0.12286,2.51047,2.84672,1.73753,0.001802,0.001802,0.001802
10,2080.8,1.93341,1.36096,1.46097,0.37975,0.57895,0.38384,0.11815,2.52158,1.84093,1.76864,0.00177725,0.00177725,0.00177725
11,2296.24,1.91382,1.34135,1.4254,0.42751,0.31579,0.30266,0.08655,2.61544,2.31357,1.75204,0.0017525,0.0017525,0.0017525
12,2509.97,1.88471,1.23683,1.41913,0.3739,0.34211,0.29292,0.07438,2.73882,2.17502,1.74186,0.00172775,0.00172775,0.00172775
13,2708.43,1.8245,1.22115,1.41319,0.38901,0.50264,0.37658,0.10267,2.60253,1.89506,1.76004,0.001703,0.001703,0.001703
14,2901,1.86418,1.18765,1.4392,0.35956,0.46842,0.32577,0.0904,2.65724,1.90565,1.71715,0.00167825,0.00167825,0.00167825
15,3093.47,1.82107,1.17431,1.40937,0.29357,0.44737,0.25733,0.0752,2.64602,2.17305,1.74073,0.0016535,0.0016535,0.0016535
16,3287.1,1.91074,1.17395,1.45125,0.36093,0.5,0.33322,0.09838,2.64009,1.90065,1.73948,0.00162875,0.00162875,0.00162875
17,3481.78,1.8495,1.17537,1.41494,0.36516,0.50526,0.37573,0.11547,2.59532,1.84166,1.73695,0.001604,0.001604,0.001604
18,3675.89,1.81984,1.11081,1.39128,0.48227,0.56316,0.45991,0.14062,2.58877,1.82261,1.90562,0.00157925,0.00157925,0.00157925
19,3873.8,1.83569,1.10997,1.42366,0.52124,0.47368,0.42913,0.11967,2.63945,1.79599,1.82737,0.0015545,0.0015545,0.0015545
20,4069.66,1.86251,1.10296,1.40352,0.51739,0.36316,0.42627,0.13052,2.62496,2.06612,1.86266,0.00152975,0.00152975,0.00152975
21,4263.39,1.8563,1.09376,1.41684,0.4417,0.58295,0.36827,0.09388,2.61865,1.85137,1.72197,0.001505,0.001505,0.001505
22,4462.37,1.76286,1.07373,1.35476,0.37736,0.46842,0.37052,0.10441,2.66665,1.99644,1.80547,0.00148025,0.00148025,0.00148025
