source_path,original_split,filename,sha256,leaf_id,annotation_status,source_label_status
dataset/images/train/Citrus Canker1.jpeg,train,Citrus Canker1.jpeg,614341cb457b037084925861326d7491fcc1181ab2518f081d2a1a66adfc05ef,,pending,positive_in_existing_dataset
dataset/images/train/Citrus Canker2.jpeg,train,Citrus Canker2.jpeg,aca3897c63890e390bcd0b017ca07770eaebbba9218dc2c14cca9296320cff85,,pending,positive_in_existing_dataset
dataset/images/train/Citrus Canker43.jpeg,train,Citrus Canker43.jpeg,d01d099a0615a3d6fa7032548e661e360ba617304dfaa8e26d8df51cb813313a,,pending,positive_in_existing_dataset
dataset/images/train/Citrus Canker335.jpeg,train,Citrus Canker335.jpeg,b952c23f87e3ec24a10447f6d570f8a232176546cdba8ebc883ab655e1ae14fc,,pending,positive_in_existing_dataset
dataset/images/train/Healthy Leaf1.jpeg,train,Healthy Leaf1.jpeg,60771fff2a14e1eb0a8ed49df3451b0ea121e7d9fbefff549a4e304c27c8d4f5,,pending,negative_in_existing_dataset
dataset/images/train/Healthy Leaf189.jpeg,train,Healthy Leaf189.jpeg,7a82f9b012f226417a82e298fbe4a83bb9af74fba8f621ec142bfa23895177a3,,pending,negative_in_existing_dataset
dataset/images/val/Citrus Canker271.jpeg,val,Citrus Canker271.jpeg,c57f7f8258edce1fe56a1b61857dd772ebdb7732b41d8a85af7bfd7daa424145,,pending,positive_in_existing_dataset
dataset/images/val/Citrus Canker442.jpeg,val,Citrus Canker442.jpeg,29dff7b831981b39a601453381af7573acad9c32dcbd50ccff14129ac0a2b89e,,pending,positive_in_existing_dataset
dataset/images/val/Yellow Leaves124.jpeg,val,Yellow Leaves124.jpeg,7079029637790a1da38ad95fab063d9a26ec5e3afcaa1ad52636caf3facc8343,,pending,negative_in_existing_dataset
dataset/images/val/Citrus Greening57.jpeg,val,Citrus Greening57.jpeg,97228d107ab51a3d7c8c480039e6682a160c5ed3fcd8b5b0cc4846c17ad05d1b,,pending,negative_in_existing_dataset
